Rank,Region,Percentage of employees,Turnover per employee,Сompany turnover in billion
1,"Калининградская область
",23.8,3421,438.4
2,"Хабаровский край
",23.8,2940,491.7
3,"Санкт-Петербург
",23.6,6169,4478.1
4,"Новосибирская область
",22.8,5137,1674.4
5,"Нижегородская область
",21.8,3387,1295.6
6,"Москва
",20.4,9788,14569.8
7,"Свердловская область
",18.7,3751,1489.1
8,"Воронежская область
",18.2,3570,768.4
9,"Тюменская область
",18.1,3538,464.5
10,"Республика Татарстан
",18.0,3681,1345.3
11,"Псковская область
",17.5,3000,166.3
12,"Вологодская область
",17.2,3588,349.1
13,"Приморский край
",16.8,5662,949.8
14,"Республика Башкортостан
",16.5,2897,906.0
15,"Самарская область
",16.3,3630,997.7
16,"Удмуртская Республика
",16.3,3206,398.3
17,"Ивановская область
",16.2,4395,367.4
18,"Смоленская область
",16.1,4076,317.3
19,"Владимирская область
",15.8,2731,311.2
20,"Республика Карелия
",15.7,3272,157.0
21,"Калужская область
",15.7,3498,295.2
22,"Рязанская область
",15.7,3788,318.0
23,"Ярославская область
",15.5,3899,393.6
24,"Севастополь
",15.2,2553,86.4
25,"Пензенская область
",15.2,2968,296.4
26,"Костромская область
",15.2,2823,132.8
27,"Кировская область
",15.2,2783,268.5
28,"Иркутская область
",15.1,3776,664.3
29,"Пермский край
",15.0,4031,740.0
30,"Московская область
",14.9,4672,2907.4
31,"Тверская область
",14.8,3073,306.4
32,"Белгородская область
",14.7,4611,562.0
33,"Ульяновская область
",14.3,3089,270.1
34,"Ростовская область
",14.2,3999,1195.0
35,"Магаданская область
",14.0,5245,62.9
36,"Липецкая область
",13.7,3484,285.8
37,"Ленинградская область
",13.6,3265,431.2
38,"Камчатский край
",13.6,4672,115.4
39,"Томская область
",13.5,3773,276.4
40,"Краснодарский край
",13.5,3991,1510.3
41,"Челябинская область
",13.4,4248,1064.8
42,"Тульская область
",13.4,3711,393.0
43,"Амурская область
",13.3,3399,184.5
44,"Сахалинская область
",13.2,4228,153.2
45,"Саратовская область
",13.1,2671,421.3
46,"Архангельская область
",13.1,3279,230.0
47,"Красноярский край
",13.0,4095,788.9
48,"Алтайский край
",12.9,3811,560.7
49,"Оренбургская область
",12.9,3042,363.7
50,"Республика Коми
",12.7,2710,147.1
51,"Кемеровская область
",12.7,2721,445.2
52,"Брянская область
",12.5,3543,262.7
53,"Чувашская Республика
",12.3,2685,200.2
54,"Республика Марий Эл
",12.1,3308,133.0
55,"Орловская область
",12.0,3495,145.8
56,"Ханты-Мансийский автономный округ — Югра
",11.6,4183,445.1
57,"Тамбовская область
",11.0,4067,223.5
58,"Омская область
",11.0,3755,419.0
59,"Новгородская область
",10.9,2824,93.0
60,"Курская область
",10.9,4187,259.0
61,"Курганская область
",10.6,2576,100.0
62,"Республика Крым
",10.5,2778,268.5
63,"Волгоградская область
",10.3,3333,428.5
64,"Республика Алтай
",10.3,3855,37.7
65,"Республика Адыгея
",10.1,3494,70.6
66,"Республика Мордовия
",9.9,2679,115.7
67,"Республика Саха (Якутия)
",9.6,3769,180.9
68,"Мурманская область
",9.3,3901,152.5
69,"Ямало-Ненецкий автономный округ
",9.2,3618,105.1
70,"Ненецкий автономный округ
",8.9,2463,5.0
71,"Еврейская автономная область
",8.9,2612,17.9
72,"Республика Бурятия
",8.4,2899,105.8
73,"Республика Хакасия
",8.4,2971,61.2
74,"Ставропольский край
",8.4,3975,459.7
75,"Астраханская область
",8.3,2878,121.0
76,"Чукотский автономный округ
",6.6,4214,8.7
77,"Республика Северная Осетия — Алания
",6.3,2634,51.6
78,"Забайкальский край
",6.2,3114,102.2
79,"Кабардино-Балкарская Республика
",5.2,2970,69.0
80,"Карачаево-Черкесская Республика
",4.9,2775,27.6
81,"Республика Калмыкия
",4.9,2709,17.6
82,"Республика Дагестан
",4.7,5094,332.4
83,"Чеченская Республика
",3.7,4739,112.5
84,"Республика Тыва
",3.1,2931,10.8
85,"Республика Ингушетия
",1.7,3768,16.9
