Numer,City,Rank
1,Москва,79.275
2,Санкт-Петербург,77.308
3,Московская область,74.5
4,Республика Татарстан,66.806
5,Белгородская область,63.978
6,Краснодарский край,63.067
7,Воронежская область,61.981
8,Ленинградская область,60.695
9,Калининградская область,59.247
10,Ханты-Мансийский автономный округ – Югра,58.813
11,Липецкая область,58.466
12,Ямало-Ненецкий автономный округ,58.181
13,Свердловская область,57.141
14,Тюменская область,57.022
15,Нижегородская область,55.519
16,Самарская область,55.368
17,Севастополь,55.355
18,Тульская область,54.51
19,Ростовская область,54.415
20,Курская область,54.319
21,Калужская область,53.369
22,Новосибирская область,52.508
23,Ставропольский край,52.172
24,Челябинская область,52.118
25,Республика Башкортостан,50.405
26,Рязанская область,50.339
27,Республика Адыгея,50.133
28,Ярославская область,49.916
29,Ульяновская область,49.807
30,Камчатский край,49.65
31,Хабаровский край,49.225
32,Оренбургская область,48.421
33,Владимирская область,47.983
34,Сахалинская область,47.873
35,Смоленская область,47.399
36,Мурманская область,47.12
37,Пензенская область,47.002
38,Красноярский край,46.707
39,Удмуртская Республика,46.334
40,Орловская область,46.245
41,Брянская область,46.225
42,Волгоградская область,46.204
43,Тамбовская область,46.169
44,Чувашская Республика,45.971
45,Томская область,45.501
46,Приморский край,45.495
47,Республика Крым,45.46
48,Саратовская область,45.15
49,Пермский край,44.714
50,Магаданская область,44.658
51,Республика Мордовия,44.511
52,Ивановская область,43.901
53,Омская область,43.038
54,Астраханская область,42.495
55,Псковская область,42.489
56,Кемеровская область,42.21
57,Республика Хакасия,42.108
58,Тверская область,41.21
59,Вологодская область,40.688
60,Кировская область,40.261
61,Республика Марий Эл,40.097
62,Костромская область,40.094
63,Иркутская область,39.824
64,Республика Дагестан,39.347
65,Новгородская область,38.906
66,Ненецкий автономный округ,38.858
67,Амурская область,38.752
68,Чукотский автономный округ,38.475
69,Республика Коми,38.214
70,Республика Саха (Якутия),37.992
71,Чеченская Республика,37.789
72,Алтайский край,37.781
73,Республика Карелия,37.132
74,Архангельская область,34.641
75,Кабардино-Балкарская Республика,33.371
76,Республика Северная Осетия – Алания,32.37
77,Республика Бурятия,31.624
78,Республика Калмыкия,31.498
79,Республика Ингушетия,29.764
80,Республика Алтай,29.456
81,Курганская область,29.409
82,Забайкальский край,28.734
83,Еврейская автономная область,28.224
84,Карачаево-Черкесская Республика,23.687
85,Республика Тыва,17.533
