Место,Субъект РФ,"Прирост (+), убыль (-) населения за 2016-2018 гг., %","Численность населения на 1 января 2019 г., тыс. чел.","Естественный прирост (+), убыль (-) населения за 2016-2018 гг., тыс. чел.","Миграционный прирост (+), убыль (-) населения за 2016-2018 гг., тыс. чел."
1,Севастополь,6.46,443.21,-2.51,29.49
2,Республика Ингушетия,5.2,497.39,18.88,5.61
3,Чеченская Республика,4.5,1456.95,69.75,-8.94
4,Тюменская область,4.41,1518.7,16.16,48.01
5,Ленинградская область,3.88,1847.87,-27.12,96.26
6,Московская область,3.84,7599.65,-11.93,292.32
7,Санкт-Петербург,3.03,5383.89,21.59,137.03
8,Республика Тыва,2.8,324.42,12.2,-3.38
9,Калининградская область,2.64,1002.19,-3.31,29.23
10,Краснодарский край,2.44,5648.24,-6.6,138.22
11,Республика Дагестан,2.34,3086.13,104.87,-34.63
12,Москва,2.31,12615.28,48.18,238.84
13,Ханты-Мансийский автономный округ — Югра,2.27,1663.8,40.58,-3.63
14,Республика Алтай,1.7,218.87,4.26,-0.53
15,Ямало-Ненецкий автономный округ,1.38,541.48,15.07,-7.64
16,Новосибирская область,1.13,2793.38,-2.18,33.99
17,Республика Татарстан,0.77,3898.63,16.4,13.41
18,Республика Саха (Якутия),0.76,967.01,18.92,-11.74
19,Республика Адыгея,0.72,454.74,-2.49,5.74
20,Сахалинская область,0.48,489.64,0.84,1.56
21,Кабардино-Балкарская Республика,0.47,866.22,12.4,-8.26
22,Красноярский край,0.26,2874.03,2.22,5.48
23,Республика Крым,0.25,1911.82,-19.05,24.15
24,Республика Бурятия,0.1,983.27,12.48,-11.21
25,Томская область,0.06,1077.44,2.13,-1.6
26,Калужская область,-0.04,1009.38,-11.56,11.32
27,Республика Хакасия,-0.12,536.17,0.17,-0.77
28,Ненецкий автономный округ,-0.16,43.83,0.93,-0.94
29,Белгородская область,-0.17,1547.42,-16.52,14.03
30,Ставропольский край,-0.23,2795.24,2.35,-9.25
31,Воронежская область,-0.24,2327.82,-35.1,29.52
32,Свердловская область,-0.33,4315.7,-12.87,-0.76
33,Камчатский край,-0.44,314.72,0.59,-1.96
34,Астраханская область,-0.45,1014.07,2.8,-7.27
35,Карачаево-Черкесская Республика,-0.48,465.56,2.75,-5.0
36,Республика Башкортостан,-0.49,4051.01,-1.13,-18.86
37,Иркутская область,-0.62,2397.76,4.27,-18.98
38,Республика Северная Осетия — Алания,-0.63,699.25,6.46,-10.82
39,Удмуртская Республика,-0.65,1507.39,-0.02,-9.68
40,Челябинская область,-0.71,3475.75,-14.17,-10.12
41,Самарская область,-0.72,3183.04,-23.41,0.69
42,Ростовская область,-0.8,4202.32,-37.96,4.55
43,Республика Марий Эл,-0.8,680.38,-1.05,-4.37
44,Пермский край,-0.9,2610.8,-7.11,-15.74
45,Ярославская область,-0.97,1259.61,-17.01,4.8
46,Хабаровский край,-0.98,1321.47,-2.75,-10.21
47,Липецкая область,-1.04,1144.04,-15.31,3.52
48,Чувашская Республика,-1.07,1223.4,-3.77,-9.26
49,Чукотский автономный округ,-1.07,49.66,0.46,-0.94
50,Курская область,-1.16,1107.04,-19.03,6.2
51,Приморский край,-1.36,1902.72,-12.68,-13.45
52,Нижегородская область,-1.4,3214.62,-40.76,-4.27
53,Рязанская область,-1.41,1114.14,-18.34,2.34
54,Республика Мордовия,-1.47,795.5,-11.52,-0.41
55,Волгоградская область,-1.51,2507.51,-24.17,-14.08
56,Ульяновская область,-1.53,1238.42,-14.34,-4.61
57,Амурская область,-1.55,793.19,-3.66,-8.77
58,Оренбургская область,-1.59,1963.01,-7.89,-23.75
59,Забайкальский край,-1.59,1065.79,4.63,-21.85
60,Кемеровская область,-1.59,2674.26,-27.7,-15.16
61,Вологодская область,-1.68,1167.71,-9.97,-9.85
62,Смоленская область,-1.69,942.36,-18.42,2.3
63,Омская область,-1.73,1944.2,-6.04,-27.9
64,Тульская область,-1.83,1478.82,-33.16,5.71
65,Алтайский край,-1.85,2332.81,-21.94,-21.94
66,Мурманская область,-1.86,748.06,-1.73,-12.25
67,Саратовская область,-1.88,2440.82,-29.23,-17.07
68,Республика Карелия,-1.88,618.06,-7.5,-4.24
69,Кировская область,-1.96,1272.11,-14.03,-11.05
70,Брянская область,-2.09,1200.19,-19.79,-5.66
71,Костромская область,-2.18,637.27,-8.26,-5.89
72,Республика Калмыкия,-2.21,272.65,1.41,-7.52
73,Владимирская область,-2.25,1365.81,-24.74,-6.39
74,Пензенская область,-2.27,1318.1,-20.41,-10.08
75,Ивановская область,-2.49,1004.18,-18.68,-6.91
76,Новгородская область,-2.5,600.3,-11.87,-3.44
77,Псковская область,-2.59,629.65,-14.24,-2.23
78,Архангельская область,-2.65,1100.29,-9.09,-20.78
79,Орловская область,-2.66,739.47,-13.85,-6.29
80,Тверская область,-2.69,1269.64,-27.38,-7.71
81,Республика Коми,-3.1,830.24,-0.9,-25.68
82,Курганская область,-3.16,834.7,-10.69,-16.45
83,Тамбовская область,-3.27,1015.97,-20.74,-13.32
84,Магаданская область,-3.53,141.23,-0.34,-4.8
85,Еврейская автономная область,-3.72,159.91,-0.85,-5.32
