Место,Субъект РФ,"Доля семей, которые могут арендовать квартиру в 2019 г., %","Семейный доход, необходимый для оплаты аренды и повседневных расходов, тыс. руб."
1,Ямало-Ненецкий автономный округ,66.6,113.9
2,Чукотский автономный округ,60.6,130.7
3,Ханты-Мансийский автономный округ — Югра,58.1,98.9
4,Санкт-Петербург,57.9,84.8
5,Магаданская область,55.8,113.3
6,Ленинградская область,54.8,69.3
7,Hенецкий автономный округ,54.0,123.7
8,Кемеровская область,53.9,56.7
9,Тюменская область,52.7,69.7
10,Иркутская область,51.5,67.4
11,Сахалинская область,49.9,112.1
12,Москва,49.5,127.9
13,Томская область,48.8,67.4
14,Красноярский край,48.5,70.7
15,Мурманская область,47.6,88.1
16,Амурская область,45.7,77.2
17,Республика Саха (Якутия),44.8,110.5
18,Республика Коми,44.8,83.3
19,Челябинская область,43.4,59.6
20,Калужская область,42.9,66.0
21,Забайкальский край,42.7,66.1
22,Вологодская область,42.7,65.7
23,Архангельская область,42.0,78.6
24,Республика Хакасия,42.0,61.5
25,Камчатский край,41.7,121.2
26,Республика Бурятия,41.4,63.1
27,Пензенская область,41.3,52.1
28,Пермский край,41.2,64.1
29,Республика Татарстан,41.2,63.0
30,Республика Башкортостан,41.0,60.9
31,Нижегородская область,41.0,63.5
32,Липецкая область,40.7,58.1
33,Оренбургская область,40.6,57.4
34,Хабаровский край,39.8,89.4
35,Московская область,39.8,91.9
36,Ярославская область,39.6,61.6
37,Удмуртская Республика,39.5,57.8
38,Воронежская область,39.3,58.1
39,Новосибирская область,39.2,68.1
40,Рязанская область,38.6,60.2
41,Омская область,38.6,58.8
42,Курская область,38.1,54.2
43,Белгородская область,37.7,58.7
44,Тульская область,37.5,65.9
45,Приморский край,37.0,85.5
46,Астраханская область,36.4,58.9
47,Самарская область,36.0,67.0
48,Свердловская область,35.9,72.3
49,Чувашская Республика,35.0,51.7
50,Республика Карелия,34.8,77.6
51,Ростовская область,34.7,61.7
52,Еврейская автономная область,34.6,78.1
53,Волгоградская область,34.5,59.6
54,Саратовская область,32.9,56.0
55,Кировская область,32.7,57.4
56,Республика Мордовия,32.6,51.9
57,Республика Марий Эл,32.6,54.5
58,Ставропольский край,32.2,57.9
59,Республика Алтай,32.1,59.3
60,Тамбовская область,32.0,54.0
61,Костромская область,31.7,60.9
62,Курганская область,31.5,56.6
63,Владимирская область,31.2,63.9
64,Республика Адыгея,31.0,56.6
65,Тверская область,30.6,67.6
66,Ульяновская область,30.3,58.4
67,Брянская область,29.7,58.4
68,Калининградская область,29.5,73.8
69,Краснодарский край,29.4,71.6
70,Алтайский край,29.3,56.8
71,Орловская область,28.8,56.9
72,Смоленская область,28.6,63.3
73,Республика Калмыкия,28.4,54.1
74,Новгородская область,28.4,69.3
75,Республика Тыва,26.0,71.4
76,Республика Северная Осетия — Алания,25.6,57.9
77,Республика Ингушетия,25.5,53.3
78,Псковская область,24.9,61.8
79,Ивановская область,22.8,61.4
80,Республика Крым,20.6,72.8
81,Севастополь,19.6,78.6
82,Карачаево-Черкесская Республика,19.5,58.9
83,Кабардино-Балкарская Республика,18.8,64.6
84,Республика Дагестан,18.6,62.4
85,Чеченская Республика,17.8,68.6
