Место в 2018 г.,Субъект РФ,Рейтинговый балл в 2018 г.,Место в 2017 г.
1,Республика Дагестан,90.9,1
2,Чеченская Республика,89.9,2
3,Кабардино-Балкарская Республика,82.0,3
4,Республика Адыгея,80.7,11
5,Краснодарский край,79.6,4
6,Пензенская область,79.3,6
7,Республика Ингушетия,79.3,5
8,Тамбовская область,78.7,9
9,Республика Северная Осетия-Алания,77.8,7
10,Ставропольский край,76.8,12
11,Рязанская область,76.1,8
12,Карачаево-Черкесская Республика,75.6,10
13,Тульская область,75.0,31
14,Чувашская Республика,74.8,15
15,Саратовская область,74.0,13
16,Волгоградская область,73.8,16
17,Республика Мордовия,73.7,17
18,Республика Татарстан,73.7,23
19,Ростовская область,73.5,24
20,Владимирская область,72.1,18
21,Ульяновская область,72.0,20
22,Республика Калмыкия,71.9,14
23,Орловская область,71.8,32
24,Нижегородская область,71.4,21
25,Курская область,71.2,27
26,Московская область,71.1,19
27,Белгородская область,71.1,26
28,Смоленская область,70.9,22
29,Республика Башкортостан,70.6,30
30,Псковская область,69.7,39
31,Москва,69.7,29
32,Липецкая область,68.7,37
33,Тверская область,68.7,34
34,Республика Марий Эл,68.7,25
35,Ивановская область,68.5,35
36,Алтайский край,68.5,38
37,Самарская область,68.3,41
38,Оренбургская область,67.9,48
39,Омская область,67.7,33
40,Воронежская область,67.3,36
41,Новгородская область,66.9,28
42,Астраханская область,66.7,40
43,Республика Алтай,66.4,63
44,Брянская область,66.2,42
45,Санкт-Петербург,66.0,51
46,Томская область,65.2,59
47,Калужская область,64.9,47
48,Хабаровский край,64.9,49
49,Республика Тыва,64.8,43
50,Ярославская область,64.2,54
51,Новосибирская область,63.8,50
52,Костромская область,63.4,55
53,Красноярский край,62.5,58
54,Ханты-Мансийский автономный округ,62.4,57
55,Тюменская область,61.5,53
56,Республика Карелия,61.5,52
57,Свердловская область,61.0,56
58,Кировская область,60.9,62
59,Ленинградская область,60.8,44
60,Калининградская область,60.6,61
61,Удмуртская республика,60.4,45
62,Пермский край,59.2,64
63,Республика Крым,58.5,65
64,Республика Саха (Якутия),58.3,69
65,Вологодская область,57.8,72
66,Курганская область,57.3,60
67,Челябинская область,57.1,67
68,Иркутская область,56.8,71
69,Кемеровская область,56.1,66
70,Архангельская область,55.6,68
71,Республика Коми,55.2,70
72,Севастополь,55.2,46
73,Мурманская область,54.6,74
74,Ямало-Ненецкий автономный округ,53.6,73
75,Чукотский автономный округ,53.1,79
76,Сахалинская область,52.8,75
77,Приморский край,52.1,76
78,Республика Бурятия,51.7,80
79,Республика Хакасия,51.7,78
80,Амурская область,50.2,81
81,Ненецкий автономный округ,48.8,77
82,Забайкальский край,47.5,82
83,Магаданская область,43.1,83
84,Еврейская автономная область,41.5,85
85,Камчатский край,40.7,84
