Место,Субъект РФ,Количество ДТП с пострадавшими на 100 тыс. автомобилей в 2019 г.,"Изменение количества ДТП с пострадавшими по сравнению с 2018 г., %",Число пострадавших в ДТП (погибших и раненых) на 100 тыс. человек в 2019 г.,Число погибших на 1000 пострадавших в 2019 г.
1,Чеченская Республика,76,14.5,34.0,251
2,Чукотский автономный округ,139,-50.0,36.0,56
3,Свердловская область,150,7.2,101.0,92
4,Республика Ингушетия,158,-11.7,73.0,160
5,Ростовская область,183,-21.9,102.0,103
6,Ямало-Ненецкий автономный округ,183,-9.2,109.0,59
7,Московская область,185,-1.4,102.0,109
8,Новосибирская область,185,-21.6,101.0,97
9,Томская область,191,-5.1,93.0,106
10,Республика Дагестан,198,-8.2,84.0,135
11,Ненецкий автономный округ,202,-3.1,89.0,51
12,Республика Хакасия,207,-6.4,133.0,76
13,Москва,210,1.5,89.0,40
14,Ханты-Мансийский автономный округ — Югра,212,-2.3,150.0,66
15,Волгоградская область,212,2.8,152.0,75
16,Республика Адыгея,212,-6.4,159.0,123
17,Кабардино-Балкарская Реcпублика,219,6.4,104.0,136
18,Белгородская область,222,3.6,118.0,84
19,Оренбургская область,227,-5.9,153.0,86
20,Камчатский край,227,-11.9,203.0,86
21,Орловская область,242,-3.4,145.0,88
22,Республика Карелия,244,-7.4,164.0,80
23,Калининградская область,246,-6.8,145.0,74
24,Республика Башкортостан,253,-2.7,146.0,79
25,Республика Саха (Якутия),259,-20.2,117.0,74
26,Пермский край,273,-13.0,163.0,67
27,Кемеровская область,287,0.8,150.0,70
28,Ульяновская область,293,-3.9,151.0,94
29,Псковская область,295,-11.1,207.0,74
30,Ивановская область,304,-13.1,156.0,57
31,Алтайский край,304,-3.6,164.0,66
32,Приморский край,309,5.8,214.0,73
33,Республика Бурятия,312,-6.8,165.0,81
34,Республика Северная Осетия — Алания,313,-7.5,190.0,66
35,Курганская область,316,-6.8,187.0,103
36,Самарская область,316,-6.7,164.0,57
37,Мурманская область,318,-2.3,160.0,45
38,Воронежская область,318,3.5,187.0,95
39,Сахалинская область,319,-13.5,184.0,89
40,Челябинская область,322,0.0,173.0,67
41,Тульская область,322,-3.6,213.0,88
42,Республика Коми,323,-7.9,173.0,46
43,Забайкальский край,323,-5.3,175.0,130
44,Ставропольский край,323,-6.5,158.0,90
45,Вологодская область,324,-2.8,180.0,61
46,Липецкая область,328,4.1,194.0,80
47,Саратовская область,328,-1.7,187.0,64
48,Санкт-Петербург,333,2.6,151.0,28
49,Тамбовская область,334,-5.9,187.0,81
50,Республика Мордовия,334,-9.4,189.0,92
51,Республика Татарстан,339,-1.9,154.0,62
52,Костромская область,339,0.9,162.0,67
53,Тверская область,341,7.6,212.0,66
54,Красноярский край,347,-0.5,165.0,80
55,Рязанская область,349,0.1,246.0,87
56,Смоленская область,351,-0.2,149.0,91
57,Краснодарский край,357,5.0,185.0,90
58,Архангельская область,358,-5.3,181.0,62
59,Чувашская Республика,363,-1.1,145.0,75
60,Магаданская область,368,11.7,280.0,73
61,Астраханская область,373,6.4,177.0,47
62,Калужская область,374,-6.2,200.0,81
63,Республика Калмыкия,384,-5.9,275.0,107
64,Брянская область,387,-9.3,128.0,90
65,Пензенская область,389,-3.9,207.0,75
66,Удмуртская Республика,397,4.6,191.0,63
67,Севастополь,399,14.4,177.0,23
68,Кировская область,405,-3.0,179.0,70
69,Ленинградская область,407,-2.2,232.0,90
70,Республика Крым,408,-7.2,145.0,101
71,Республика Алтай,408,5.8,228.0,84
72,Нижегородская область,411,1.6,236.0,46
73,Курская область,414,3.3,210.0,82
74,Хабаровский край,415,-2.6,194.0,58
75,Иркутская область,417,-3.0,189.0,80
76,Новгородская область,424,-7.4,238.0,57
77,Республика Марий Эл,427,11.7,191.0,70
78,Еврейская автономная область,434,-12.1,191.0,92
79,Амурская область,455,6.6,232.0,77
80,Тюменская область,455,0.0,265.0,44
81,Карачаево-Черкесская Республика,462,7.8,197.0,91
82,Владимирская область,476,-3.3,243.0,79
83,Омская область,476,-2.8,199.0,44
84,Ярославская область,504,4.8,228.0,58
85,Республика Тыва,858,-6.8,265.0,121
